0.001 s |  Acceleration:  6.22737 m/s^2 | Velocity:  0.00623 m/s
0.002 s |  Acceleration:  6.22728 m/s^2 | Velocity:  0.01245 m/s
0.003 s |  Acceleration:  6.227 m/s^2 | Velocity:  0.01868 m/s
0.004 s |  Acceleration:  6.22653 m/s^2 | Velocity:  0.02491 m/s
0.005 s |  Acceleration:  6.22588 m/s^2 | Velocity:  0.03113 m/s
0.006 s |  Acceleration:  6.22504 m/s^2 | Velocity:  0.03736 m/s
0.007 s |  Acceleration:  6.22401 m/s^2 | Velocity:  0.04358 m/s
0.008 s |  Acceleration:  6.2228 m/s^2 | Velocity:  0.04981 m/s
0.009 s |  Acceleration:  6.22139 m/s^2 | Velocity:  0.05603 m/s
0.01 s |  Acceleration:  6.21981 m/s^2 | Velocity:  0.06225 m/s
0.011 s |  Acceleration:  6.21803 m/s^2 | Velocity:  0.06847 m/s
0.012 s |  Acceleration:  6.21608 m/s^2 | Velocity:  0.07468 m/s
0.013 s |  Acceleration:  6.21393 m/s^2 | Velocity:  0.0809 m/s
0.014 s |  Acceleration:  6.2116 m/s^2 | Velocity:  0.08711 m/s
0.015 s |  Acceleration:  6.20909 m/s^2 | Velocity:  0.09332 m/s
0.016 s |  Acceleration:  6.20638 m/s^2 | Velocity:  0.09952 m/s
0.017 s |  Acceleration:  6.2035 m/s^2 | Velocity:  0.10573 m/s
0.018 s |  Acceleration:  6.20043 m/s^2 | Velocity:  0.11193 m/s
0.019 s |  Acceleration:  6.19718 m/s^2 | Velocity:  0.11812 m/s
0.02 s |  Acceleration:  6.19374 m/s^2 | Velocity:  0.12432 m/s
0.021 s |  Acceleration:  6.19012 m/s^2 | Velocity:  0.13051 m/s
0.022 s |  Acceleration:  6.18632 m/s^2 | Velocity:  0.13669 m/s
0.023 s |  Acceleration:  6.18234 m/s^2 | Velocity:  0.14288 m/s
0.024 s |  Acceleration:  6.17817 m/s^2 | Velocity:  0.14905 m/s
0.025 s |  Acceleration:  6.17382 m/s^2 | Velocity:  0.15523 m/s
0.026 s |  Acceleration:  6.1693 m/s^2 | Velocity:  0.1614 m/s
0.027 s |  Acceleration:  6.16459 m/s^2 | Velocity:  0.16756 m/s
0.028 s |  Acceleration:  6.1597 m/s^2 | Velocity:  0.17372 m/s
0.029 s |  Acceleration:  6.15463 m/s^2 | Velocity:  0.17988 m/s
0.03 s |  Acceleration:  6.14939 m/s^2 | Velocity:  0.18603 m/s
0.031 s |  Acceleration:  6.14396 m/s^2 | Velocity:  0.19217 m/s
0.032 s |  Acceleration:  6.13836 m/s^2 | Velocity:  0.19831 m/s
0.033 s |  Acceleration:  6.13259 m/s^2 | Velocity:  0.20444 m/s
0.034 s |  Acceleration:  6.12663 m/s^2 | Velocity:  0.21057 m/s
0.035 s |  Acceleration:  6.1205 m/s^2 | Velocity:  0.21669 m/s
0.036 s |  Acceleration:  6.1142 m/s^2 | Velocity:  0.2228 m/s
0.037 s |  Acceleration:  6.10772 m/s^2 | Velocity:  0.22891 m/s
0.038 s |  Acceleration:  6.10107 m/s^2 | Velocity:  0.23501 m/s
0.039 s |  Acceleration:  6.09425 m/s^2 | Velocity:  0.2411 m/s
0.04 s |  Acceleration:  6.08726 m/s^2 | Velocity:  0.24719 m/s
0.041 s |  Acceleration:  6.08009 m/s^2 | Velocity:  0.25327 m/s
0.042 s |  Acceleration:  6.07276 m/s^2 | Velocity:  0.25934 m/s
0.043 s |  Acceleration:  6.06526 m/s^2 | Velocity:  0.26541 m/s
0.044 s |  Acceleration:  6.05758 m/s^2 | Velocity:  0.27147 m/s
0.045 s |  Acceleration:  6.04975 m/s^2 | Velocity:  0.27752 m/s
0.046 s |  Acceleration:  6.04174 m/s^2 | Velocity:  0.28356 m/s
0.047 s |  Acceleration:  6.03357 m/s^2 | Velocity:  0.28959 m/s
0.048 s |  Acceleration:  6.02523 m/s^2 | Velocity:  0.29562 m/s
0.049 s |  Acceleration:  6.01673 m/s^2 | Velocity:  0.30163 m/s
0.05 s |  Acceleration:  6.00807 m/s^2 | Velocity:  0.30764 m/s
0.051 s |  Acceleration:  5.99925 m/s^2 | Velocity:  0.31364 m/s
0.052 s |  Acceleration:  5.99027 m/s^2 | Velocity:  0.31963 m/s
0.053 s |  Acceleration:  5.98112 m/s^2 | Velocity:  0.32561 m/s
0.054 s |  Acceleration:  5.97182 m/s^2 | Velocity:  0.33159 m/s
0.055 s |  Acceleration:  5.96236 m/s^2 | Velocity:  0.33755 m/s
0.056 s |  Acceleration:  5.95274 m/s^2 | Velocity:  0.3435 m/s
0.057 s |  Acceleration:  5.94297 m/s^2 | Velocity:  0.34944 m/s
0.058 s |  Acceleration:  5.93305 m/s^2 | Velocity:  0.35538 m/s
0.059 s |  Acceleration:  5.92297 m/s^2 | Velocity:  0.3613 m/s
0.06 s |  Acceleration:  5.91274 m/s^2 | Velocity:  0.36721 m/s
0.061 s |  Acceleration:  5.90235 m/s^2 | Velocity:  0.37311 m/s
0.062 s |  Acceleration:  5.89182 m/s^2 | Velocity:  0.37901 m/s
0.063 s |  Acceleration:  5.88114 m/s^2 | Velocity:  0.38489 m/s
0.064 s |  Acceleration:  5.87031 m/s^2 | Velocity:  0.39076 m/s
0.065 s |  Acceleration:  5.85934 m/s^2 | Velocity:  0.39662 m/s
0.066 s |  Acceleration:  5.84822 m/s^2 | Velocity:  0.40247 m/s
0.067 s |  Acceleration:  5.83695 m/s^2 | Velocity:  0.4083 m/s
0.068 s |  Acceleration:  5.82555 m/s^2 | Velocity:  0.41413 m/s
0.069 s |  Acceleration:  5.814 m/s^2 | Velocity:  0.41994 m/s
0.07 s |  Acceleration:  5.80231 m/s^2 | Velocity:  0.42574 m/s
0.071 s |  Acceleration:  5.79048 m/s^2 | Velocity:  0.43153 m/s
0.072 s |  Acceleration:  5.77852 m/s^2 | Velocity:  0.43731 m/s
0.073 s |  Acceleration:  5.76642 m/s^2 | Velocity:  0.44308 m/s
0.074 s |  Acceleration:  5.75418 m/s^2 | Velocity:  0.44883 m/s
0.075 s |  Acceleration:  5.74181 m/s^2 | Velocity:  0.45458 m/s
0.076 s |  Acceleration:  5.72931 m/s^2 | Velocity:  0.4603 m/s
0.077 s |  Acceleration:  5.71667 m/s^2 | Velocity:  0.46602 m/s
0.078 s |  Acceleration:  5.70391 m/s^2 | Velocity:  0.47173 m/s
0.079 s |  Acceleration:  5.69102 m/s^2 | Velocity:  0.47742 m/s
0.08 s |  Acceleration:  5.678 m/s^2 | Velocity:  0.48309 m/s
0.081 s |  Acceleration:  5.66485 m/s^2 | Velocity:  0.48876 m/s
0.082 s |  Acceleration:  5.65158 m/s^2 | Velocity:  0.49441 m/s
0.083 s |  Acceleration:  5.63819 m/s^2 | Velocity:  0.50005 m/s
0.084 s |  Acceleration:  5.62467 m/s^2 | Velocity:  0.50567 m/s
0.085 s |  Acceleration:  5.61104 m/s^2 | Velocity:  0.51128 m/s
0.086 s |  Acceleration:  5.59728 m/s^2 | Velocity:  0.51688 m/s
0.087 s |  Acceleration:  5.58341 m/s^2 | Velocity:  0.52247 m/s
0.088 s |  Acceleration:  5.56943 m/s^2 | Velocity:  0.52803 m/s
0.089 s |  Acceleration:  5.55532 m/s^2 | Velocity:  0.53359 m/s
0.09 s |  Acceleration:  5.54111 m/s^2 | Velocity:  0.53913 m/s
0.091 s |  Acceleration:  5.52678 m/s^2 | Velocity:  0.54466 m/s
0.092 s |  Acceleration:  5.51234 m/s^2 | Velocity:  0.55017 m/s
0.093 s |  Acceleration:  5.4978 m/s^2 | Velocity:  0.55567 m/s
0.094 s |  Acceleration:  5.48314 m/s^2 | Velocity:  0.56115 m/s
0.095 s |  Acceleration:  5.46838 m/s^2 | Velocity:  0.56662 m/s
0.096 s |  Acceleration:  5.45352 m/s^2 | Velocity:  0.57207 m/s
0.097 s |  Acceleration:  5.43855 m/s^2 | Velocity:  0.57751 m/s
0.098 s |  Acceleration:  5.42348 m/s^2 | Velocity:  0.58294 m/s
0.099 s |  Acceleration:  5.40831 m/s^2 | Velocity:  0.58834 m/s
0.1 s |  Acceleration:  5.39304 m/s^2 | Velocity:  0.59374 m/s
0.101 s |  Acceleration:  5.37768 m/s^2 | Velocity:  0.59911 m/s
0.102 s |  Acceleration:  5.36221 m/s^2 | Velocity:  0.60448 m/s
0.103 s |  Acceleration:  5.34666 m/s^2 | Velocity:  0.60982 m/s
0.104 s |  Acceleration:  5.33101 m/s^2 | Velocity:  0.61515 m/s
0.105 s |  Acceleration:  5.31527 m/s^2 | Velocity:  0.62047 m/s
0.106 s |  Acceleration:  5.29944 m/s^2 | Velocity:  0.62577 m/s
0.107 s |  Acceleration:  5.28352 m/s^2 | Velocity:  0.63105 m/s
0.108 s |  Acceleration:  5.26752 m/s^2 | Velocity:  0.63632 m/s
0.109 s |  Acceleration:  5.25142 m/s^2 | Velocity:  0.64157 m/s
0.11 s |  Acceleration:  5.23525 m/s^2 | Velocity:  0.64681 m/s
0.111 s |  Acceleration:  5.21899 m/s^2 | Velocity:  0.65203 m/s
0.112 s |  Acceleration:  5.20265 m/s^2 | Velocity:  0.65723 m/s
0.113 s |  Acceleration:  5.18623 m/s^2 | Velocity:  0.66241 m/s
0.114 s |  Acceleration:  5.16974 m/s^2 | Velocity:  0.66758 m/s
0.115 s |  Acceleration:  5.15317 m/s^2 | Velocity:  0.67274 m/s
0.116 s |  Acceleration:  5.13652 m/s^2 | Velocity:  0.67787 m/s
0.117 s |  Acceleration:  5.1198 m/s^2 | Velocity:  0.68299 m/s
0.118 s |  Acceleration:  5.103 m/s^2 | Velocity:  0.6881 m/s
0.119 s |  Acceleration:  5.08614 m/s^2 | Velocity:  0.69318 m/s
0.12 s |  Acceleration:  5.0692 m/s^2 | Velocity:  0.69825 m/s
0.121 s |  Acceleration:  5.0522 m/s^2 | Velocity:  0.7033 m/s
0.122 s |  Acceleration:  5.03514 m/s^2 | Velocity:  0.70834 m/s
0.123 s |  Acceleration:  5.018 m/s^2 | Velocity:  0.71336 m/s
